Time,Amplitude
0,0.98436
0.01,0.96341
0.02,0.83724
0.03,0.56907
0.04,0.28629
0.051,-0.03667
0.061,-0.33881
0.071,-0.6043
0.081,-0.81139
0.091,-0.95986
0.101,-1.009
0.111,-0.93556
0.121,-0.80922
0.131,-0.55276
0.141,-0.26938
0.152,0.07952
0.162,0.37619
0.172,0.63496
0.182,0.83625
0.192,0.97204
0.202,0.98629
0.212,0.93223
0.222,0.76064
0.232,0.51449
0.242,0.26452
0.253,-0.09095
0.263,-0.39896
0.273,-0.67002
0.283,-0.85476
0.293,-0.97388
0.303,-0.99149
0.313,-0.92177
0.323,-0.7413
0.333,-0.49589
0.343,-0.22638
0.354,0.12422
0.364,0.42426
0.374,0.68894
0.384,0.84605
0.394,0.97077
0.404,0.99108
0.414,0.90745
0.424,0.7271
0.434,0.48231
0.444,0.18485
0.455,-0.15218
0.465,-0.467
0.475,-0.69783
0.485,-0.90082
0.495,-0.98583
0.505,-0.97508
0.515,-0.89546
0.525,-0.6995
0.535,-0.44462
0.545,-0.15157
0.556,0.20092
0.566,0.4862
0.576,0.72841
0.586,0.91397
0.596,0.98885
0.606,0.99278
0.616,0.87879
0.626,0.68898
0.636,0.43217
0.646,0.12736
0.657,-0.23135
0.667,-0.49626
0.677,-0.75047
0.687,-0.92975
0.697,-0.98869
0.707,-0.98408
0.717,-0.85793
0.727,-0.65295
0.737,-0.40288
0.747,-0.10148
0.758,0.24847
0.768,0.54889
0.778,0.78676
0.788,0.92994
0.798,1.00144
0.808,0.97128
0.818,0.84638
0.828,0.63158
0.838,0.37235
0.848,0.07728
0.859,-0.27822
0.869,-0.5638
0.879,-0.79989
0.889,-0.94031
0.899,-1.00107
0.909,-0.97104
0.919,-0.82308
0.929,-0.61829
0.939,-0.32584
0.949,-0.02362
0.96,0.30212
0.97,0.59109
0.98,0.82142
0.99,0.95783
1,1.00526
